web-scraper-order,web-scraper-start-url,getcomments
"1618405986-182","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 7"
"1618405986-39","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-115","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 9"
"1618405986-170","https://www.instagram.com/p/CNoSB5ZDGfI/","7!!"
"1618405986-336","https://www.instagram.com/p/CNoSB5ZDGfI/","9"
"1618405986-128","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 4"
"1618405986-308","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 1"
"1618405986-73","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 6"
"1618405986-95","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8"
"1618405986-118","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-187","https://www.instagram.com/p/CNoSB5ZDGfI/","5"
"1618405986-269","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-162","https://www.instagram.com/p/CNoSB5ZDGfI/","1"
"1618405986-340","https://www.instagram.com/p/CNoSB5ZDGfI/","1+8"
"1618405986-45","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-251","https://www.instagram.com/p/CNoSB5ZDGfI/","5, 8"
"1618405986-230","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8"
"1618405986-125","https://www.instagram.com/p/CNoSB5ZDGfI/","7&8🔥"
"1618405986-332","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-254","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-134","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-331","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-48","https://www.instagram.com/p/CNoSB5ZDGfI/","1 & 6"
"1618405986-345","https://www.instagram.com/p/CNoSB5ZDGfI/","4 and 8"
"1618405986-245","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-156","https://www.instagram.com/p/CNoSB5ZDGfI/","1 and 5"
"1618405986-334","https://www.instagram.com/p/CNoSB5ZDGfI/","8 !"
"1618405986-22","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 8"
